Case,Split,Class_Name,Label,Segment_Count
chb01,train,Ictal,1,108
chb01,train,Preictal,0,108
chb02,train,Ictal,1,42
chb02,train,Preictal,0,42
chb03,train,Ictal,1,99
chb03,train,Preictal,0,99
chb04,train,Ictal,1,93
chb04,train,Preictal,0,93
chb05,train,Ictal,1,138
chb05,train,Preictal,0,138
chb06,train,Ictal,1,36
chb06,train,Preictal,0,36
chb07,train,Ictal,1,80
chb07,train,Preictal,0,80
chb08,train,Ictal,1,228
chb08,train,Preictal,0,228
chb09,train,Ictal,1,67
chb09,train,Preictal,0,67
chb10,test,Ictal,1,109
chb10,test,Preictal,0,109
chb11,test,Ictal,1,201
chb11,test,Preictal,0,201
chb12,test,Ictal,1,214
chb12,test,Preictal,0,214
