Epoch,Training_Loss,Training_Accuracy,Training_F1,Learning_Rate,Epoch_Seconds
1,0.40274222414234,0.8254769921436588,0.8233957978421351,0.001,6.269598484039307
2,0.3290880939826018,0.8602693602693603,0.8553166763509588,0.001,5.926326513290405
3,0.3068336411959394,0.8698092031425365,0.8663594470046083,0.001,5.866590976715088
4,0.2644815017311394,0.8888888888888888,0.8846153846153846,0.001,5.892489671707153
5,0.2384472819323224,0.9017957351290684,0.8993674525589419,0.001,5.907722234725952
6,0.2285664426089671,0.9118967452300786,0.9102344196683819,0.001,5.869483232498169
7,0.17850494444136134,0.9343434343434344,0.9337110481586403,0.001,5.842942476272583
8,0.1516402242234861,0.9455667789001122,0.9451667608818541,0.001,5.838156223297119
9,0.18387792012356347,0.9287317620650954,0.9281267685342388,0.001,5.835262775421143
10,0.13640840684181846,0.9500561167227833,0.949517867271696,0.001,6.090296506881714
11,0.0979389318392542,0.9691358024691358,0.9690140845070423,0.0001,5.798989295959473
12,0.07989437439020067,0.9713804713804713,0.9712676056338028,0.0001,5.977358102798462
13,0.07856433900485,0.9725028058361391,0.9723320158102767,0.0001,5.789958953857422
14,0.07278750671803383,0.9741863075196409,0.9741282339707537,0.0001,5.962344408035278
15,0.07236943736266842,0.9753086419753086,0.9751972942502819,0.0001,5.8494133949279785
16,0.06773048913677032,0.9775533108866442,0.9774520856820744,0.0001,5.937159538269043
17,0.06625245993394577,0.978675645342312,0.9786516853932584,0.0001,5.912224531173706
18,0.06702687987466117,0.9781144781144782,0.9780033840947546,0.0001,5.91845178604126
19,0.06150051237028573,0.9803591470258137,0.9802371541501976,0.0001,5.861107349395752
20,0.06079401664736897,0.9797979797979798,0.9797297297297297,0.0001,5.846123695373535
21,0.05516465723736151,0.9848484848484849,0.9847715736040609,1e-05,5.931313753128052
22,0.05553676471021131,0.9842873176206509,0.9842342342342343,1e-05,5.929302215576172
23,0.054665509855957944,0.9854096520763187,0.9853438556933484,1e-05,5.870335102081299
24,0.054548878701430915,0.9842873176206509,0.9842342342342343,1e-05,5.897625207901001
25,0.054302080221344556,0.9854096520763187,0.9853107344632769,1e-05,5.905101537704468
26,0.053554178755960344,0.9854096520763187,0.9853438556933484,1e-05,5.9031078815460205
27,0.05342778903782351,0.9865319865319865,0.9864864864864865,1e-05,5.963193893432617
28,0.05329850643055825,0.9865319865319865,0.9865016872890888,1e-05,5.817048072814941
29,0.053453051477804464,0.9859708193041526,0.9858836815358555,1e-05,5.9670631885528564
30,0.05258266623398471,0.9865319865319865,0.9864864864864865,1e-05,5.808841705322266
