Epoch,Training_Loss,Training_Accuracy,Training_F1,Learning_Rate,Epoch_Seconds
1,0.4703135939506559,0.7963944856839873,0.7989528795811518,0.001,6.224264860153198
2,0.3996407169204754,0.8287380699893956,0.8330749354005168,0.001,5.935778617858887
3,0.3656718726343972,0.852067868504772,0.8541557762676425,0.001,5.819162130355835
4,0.34192744041235046,0.8547189819724285,0.8571428571428571,0.001,5.995363712310791
5,0.2806862453166652,0.8870625662778366,0.8861571352218065,0.001,5.823914527893066
6,0.2375399067697697,0.9066808059384942,0.9060832443970117,0.001,5.9483935832977295
7,0.23287790253647817,0.9098621420996819,0.9089935760171306,0.001,5.812381744384766
8,0.2181545992126078,0.9103923647932132,0.9099627064464572,0.001,5.882513761520386
9,0.2336548966605489,0.9040296924708378,0.9030530262453134,0.001,5.867594003677368
10,0.17715315089767458,0.9316012725344645,0.9306824288017195,0.001,6.036474227905273
11,0.14792748450569232,0.9469777306468717,0.946751863684771,0.0001,5.782871246337891
12,0.139720094821802,0.9475079533404029,0.9472562599893447,0.0001,6.019676685333252
13,0.13361730223890958,0.9512195121951219,0.9509594882729211,0.0001,5.84563422203064
14,0.13006270863708358,0.9475079533404029,0.9468599033816425,0.0001,5.9217917919158936
15,0.12627598159173198,0.9554612937433722,0.9550321199143469,0.0001,5.879565715789795
16,0.12211925661623921,0.9538706256627784,0.9535504538174052,0.0001,6.194057941436768
17,0.12056694380062004,0.9565217391304348,0.9563365282215123,0.0001,5.833449363708496
18,0.11923354712620077,0.9528101802757158,0.9524826481580352,0.0001,5.807480335235596
19,0.11652160757878047,0.9554612937433722,0.9550802139037433,0.0001,5.867062330245972
20,0.11072822672256673,0.9581124072110286,0.9577314071696095,0.0001,5.87263035774231
21,0.10652076830437618,0.9623541887592789,0.9620928990923652,1e-05,5.880864381790161
22,0.10597787651876314,0.9612937433722163,0.9610250934329952,1e-05,5.769925594329834
23,0.10522004633486144,0.9628844114528102,0.9626467449306296,1e-05,5.868952751159668
24,0.10464010191715914,0.9655355249204666,0.9652220438737292,1e-05,5.728895902633667
25,0.10581265343303771,0.9628844114528102,0.9626068376068376,1e-05,5.989055156707764
26,0.10427970997199085,0.9650053022269353,0.9647435897435898,1e-05,5.782270908355713
27,0.1039325955777191,0.9623541887592789,0.9621333333333333,1e-05,5.89023232460022
28,0.10356030802164436,0.9655355249204666,0.9652220438737292,1e-05,5.800532817840576
29,0.10299398284701755,0.9644750795334041,0.9641902725815072,1e-05,6.021855115890503
30,0.10397533797051596,0.9618239660657476,0.9616204690831557,1e-05,5.887819766998291
